"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanTRACING"
"1","P113","image-5","type-I","class-H","P113_image-5_type-I_class-H.JPG",64,100
"2","P118","image-1","type-S","class-F","P118_image-1_type-S_class-F.JPG",54,100
"3","P118","image-4","type-S","class-C","P118_image-4_type-S_class-C.JPG",54,100
"4","P118","image-5","type-O","class-H","P118_image-5_type-O_class-H.JPG",54,100
"5","P118","image-6","type-I","class-C","P118_image-6_type-I_class-C.JPG",54,100
"6","P34","image-6","type-O","class-H","P34_image-6_type-O_class-H.JPG",46,100
"7","P113","image-3","type-O","class-F","P113_image-3_type-O_class-F.JPG",64,98.4
"8","P113","image-2","type-S","class-M","P113_image-2_type-S_class-M.JPG",64,97.6666666666667
"9","P113","image-6","type-I","class-M","P113_image-6_type-I_class-M.JPG",64,96.5
"10","P13","image-3","type-I","class-H","P13_image-3_type-I_class-H.JPG",58,95.5
"11","P51","image-4","type-O","class-H","P51_image-4_type-O_class-H.JPG",37,90.6666666666667
"12","P13","image-1","type-S","class-M","P13_image-1_type-S_class-M.JPG",58,88
"13","P118","image-3","type-O","class-F","P118_image-3_type-O_class-F.JPG",54,86
"14","P13","image-4","type-O","class-M","P13_image-4_type-O_class-M.JPG",58,85.25
"15","P118","image-2","type-I","class-M","P118_image-2_type-I_class-M.JPG",54,85
"16","P113","image-1","type-S","class-C","P113_image-1_type-S_class-C.JPG",64,83.8333333333333
"17","P25","image-5","type-O","class-M","P25_image-5_type-O_class-M.JPG",41,82.3333333333333
"18","P113","image-4","type-O","class-C","P113_image-4_type-O_class-C.JPG",64,81.5
"19","P13","image-2","type-I","class-F","P13_image-2_type-I_class-F.JPG",58,80.6
"20","P45","image-4","type-S","class-F","P45_image-4_type-S_class-F.JPG",36,80.6
"21","P98","image-2","type-I","class-F","P98_image-2_type-I_class-F.JPG",36,78.5714285714286
"22","P33","image-6","type-I","class-F","P33_image-6_type-I_class-F.JPG",67,72.6666666666667
"23","P28","image-2","type-O","class-H","P28_image-2_type-O_class-H.JPG",66,70.6666666666667
"24","P21","image-1","type-I","class-F","P21_image-1_type-I_class-F.JPG",60,68.8
"25","P45","image-6","type-O","class-H","P45_image-6_type-O_class-H.JPG",36,68
"26","P41","image-3","type-O","class-M","P41_image-3_type-O_class-M.JPG",48,64.2
"27","P90","image-6","type-I","class-H","P90_image-6_type-I_class-H.JPG",66,60.8571428571429
